sid int,name string(20),major string(20),gpa float
180,Tanesha Wiley,Business,2.3803783350232077
181,Jaunita Presswood,CS,3.7457808001514845
182,Henry Porco,Art History,1.1531257653658091
183,Richard Lindholm,Biology,2.0002739640402067
184,Roxanne Masek,CS,2.3149818175767782
185,Helene Macleod,CS,2.5925009947479047
186,Elizabet Trowell,Biology,2.906090426924333
187,Kasi Chesney,Zoology,1.107816161048091
188,Carlita Holmon,Art History,1.9484717368141058
189,Salome Newport,Chemistry,1.7454779935250886
190,Azucena Galles,Business,1.2519184085958166
191,Kizzie Cliff,Business,3.913792929559814
192,Gregg Ahlgren,Business,1.690390383587132
193,Carolin Keels,CS,2.9916220069580395
194,Catalina Echavarria,Zoology,3.3984181844218915
195,Denice Pothier,Chemistry,3.388576246359147
196,Shauna Dutta,Zoology,2.2527986472805157
197,Marisela Cue,Business,2.0716201591707373
198,Hannelore Goya,Art History,1.647341862916107
199,Ozella Backstrom,Chemistry,3.3695989272830484
200,Meggan Gasser,Business,1.568863708664711
